step,a2<b2;ab<0,a2<b2;ab>0,a2>b2;ab<0,a2>b2;ab>0
0,5,0,0,5
1,5,0,0,5
2,5,0,0,5
3,5,0,0,5
4,5,0,0,5
5,5,0,0,5
6,5,0,0,5
7,5,0,0,5
8,5,0,0,5
9,5,0,0,5
10,5,0,0,5
11,5,0,0,5
12,5,0,0,5
13,5,0,0,5
14,5,0,0,5
15,5,0,0,5
16,5,0,0,5
17,5,0,0,5
18,5,0,0,5
19,5,0,0,5
20,5,0,0,5
21,5,0,0,5
22,5,0,0,5
23,5,0,0,5
24,5,0,0,5
25,5,0,0,5
26,3,2,2,3
27,3,2,2,3
28,3,2,2,3
29,3,2,2,3
30,3,2,2,3
31,3,2,2,3
32,0,5,5,0
33,0,5,5,0
34,0,5,5,0
35,0,5,5,0
36,0,5,5,0
37,0,5,5,0
38,0,5,5,0
39,0,5,5,0
40,0,5,5,0
41,0,5,5,0
42,0,5,5,0
43,0,5,5,0
44,0,5,5,0
45,0,5,5,0
46,0,5,5,0
47,0,5,5,0
48,0,5,5,0
49,0,5,5,0
50,0,5,5,0
51,0,5,5,0
52,0,5,5,0
53,0,5,5,0
54,0,5,5,0
55,0,5,5,0
56,0,5,5,0
57,0,5,5,0
58,0,5,5,0
59,0,5,5,0
60,0,5,5,0
61,0,5,5,0
62,0,5,5,0
63,0,5,5,0
64,0,5,5,0
65,0,5,5,0
66,0,5,5,0
67,0,5,5,0
68,0,5,5,0
69,0,5,5,0
70,0,5,5,0
71,0,5,5,0
72,0,5,5,0
73,0,5,5,0
74,0,5,5,0
75,0,5,5,0
76,0,5,5,0
77,0,5,5,0
78,2,3,3,2
79,2,3,3,2
80,2,3,3,2
81,2,3,3,2
82,2,3,3,2
83,2,3,3,2
84,5,0,0,5
85,5,0,0,5
86,5,0,0,5
87,5,0,0,5
88,5,0,0,5
89,5,0,0,5
90,5,0,0,5
91,5,0,0,5
92,5,0,0,5
93,5,0,0,5
94,5,0,0,5
95,5,0,0,5
96,5,0,0,5
97,5,0,0,5
98,5,0,0,5
99,5,0,0,5
100,5,0,0,5
101,5,0,0,5
102,5,0,0,5
103,5,0,0,5
104,5,0,0,5
105,5,0,0,5
106,5,0,0,5
107,5,0,0,5
108,5,0,0,5
109,5,0,0,5
110,5,0,0,5
111,5,0,0,5
112,5,0,0,5
113,5,0,0,5
114,5,0,0,5
115,5,0,0,5
116,5,0,0,5
117,5,0,0,5
118,5,0,0,5
119,5,0,0,5
120,5,0,0,5
121,5,0,0,5
122,5,0,0,5
123,5,0,0,5
124,5,0,0,5
125,5,0,0,5
126,5,0,0,5
127,5,0,0,5
128,5,0,0,5
129,5,0,0,5
130,3,2,2,3
131,3,2,2,3
132,3,2,2,3
133,3,2,2,3
134,3,2,2,3
135,3,2,2,3
136,0,5,5,0
137,0,5,5,0
138,0,5,5,0
139,0,5,5,0
140,0,5,5,0
141,0,5,5,0
142,0,5,5,0
143,0,5,5,0
144,0,5,5,0
145,0,5,5,0
146,0,5,5,0
147,0,5,5,0
148,0,5,5,0
149,0,5,5,0
150,0,5,5,0
151,0,5,5,0
152,0,5,5,0
153,0,5,5,0
154,0,5,5,0
155,0,5,5,0
156,0,5,5,0
157,0,5,5,0
158,0,5,5,0
159,0,5,5,0
160,0,5,5,0
161,0,5,5,0
162,0,5,5,0
163,0,5,5,0
164,0,5,5,0
165,0,5,5,0
166,0,5,5,0
167,0,5,5,0
168,0,5,5,0
169,0,5,5,0
170,0,5,5,0
171,0,5,5,0
172,0,5,5,0
173,0,5,5,0
174,0,5,5,0
175,0,5,5,0
176,0,5,5,0
177,0,5,5,0
178,0,5,5,0
179,0,5,5,0
180,0,5,5,0
181,0,5,5,0
182,0,5,5,0
183,2,3,3,2
184,2,3,3,2
185,2,3,3,2
186,2,3,3,2
187,2,3,3,2
188,2,3,3,2
189,5,0,0,5
190,5,0,0,5
191,5,0,0,5
192,5,0,0,5
193,5,0,0,5
194,5,0,0,5
195,5,0,0,5
196,5,0,0,5
197,5,0,0,5
198,5,0,0,5
199,5,0,0,5
200,5,0,0,5
201,5,0,0,5
202,5,0,0,5
203,5,0,0,5
204,5,0,0,5
205,5,0,0,5
206,5,0,0,5
207,5,0,0,5
208,5,0,0,5
209,5,0,0,5
210,5,0,0,5
211,5,0,0,5
212,5,0,0,5
213,5,0,0,5
214,5,0,0,5
215,5,0,0,5
216,5,0,0,5
217,5,0,0,5
218,5,0,0,5
219,5,0,0,5
220,5,0,0,5
221,5,0,0,5
222,5,0,0,5
223,5,0,0,5
224,5,0,0,5
225,5,0,0,5
226,5,0,0,5
227,5,0,0,5
228,5,0,0,5
229,5,0,0,5
230,5,0,0,5
231,5,0,0,5
232,5,0,0,5
233,5,0,0,5
234,5,0,0,5
235,3,2,2,3
236,3,2,2,3
237,3,2,2,3
238,3,2,2,3
239,3,2,2,3
240,3,2,2,3
241,0,5,5,0
242,0,5,5,0
243,0,5,5,0
244,0,5,5,0
245,0,5,5,0
246,0,5,5,0
247,0,5,5,0
248,0,5,5,0
249,0,5,5,0
250,0,5,5,0
251,0,5,5,0
252,0,5,5,0
253,0,5,5,0
254,0,5,5,0
255,0,5,5,0
256,0,5,5,0
257,0,5,5,0
258,0,5,5,0
259,0,5,5,0
260,0,5,5,0
261,0,5,5,0
262,0,5,5,0
263,0,5,5,0
264,0,5,5,0
265,0,5,5,0
266,0,5,5,0
267,0,5,5,0
268,0,5,5,0
269,0,5,5,0
270,0,5,5,0
271,0,5,5,0
272,0,5,5,0
273,0,5,5,0
274,0,5,5,0
275,0,5,5,0
276,0,5,5,0
277,0,5,5,0
278,0,5,5,0
279,0,5,5,0
280,0,5,5,0
281,0,5,5,0
282,0,5,5,0
283,0,5,5,0
284,0,5,5,0
285,0,5,5,0
286,0,5,5,0
287,2,3,3,2
288,2,3,3,2
289,2,3,3,2
290,2,3,3,2
291,2,3,3,2
292,2,3,3,2
293,5,0,0,5
294,5,0,0,5
295,5,0,0,5
296,5,0,0,5
297,5,0,0,5
298,5,0,0,5
299,5,0,0,5
300,5,0,0,5
301,5,0,0,5
302,5,0,0,5
303,5,0,0,5
304,5,0,0,5
305,5,0,0,5
306,5,0,0,5
307,5,0,0,5
308,5,0,0,5
309,5,0,0,5
310,5,0,0,5
311,5,0,0,5
312,5,0,0,5
313,5,0,0,5
314,5,0,0,5
315,5,0,0,5
316,5,0,0,5
317,5,0,0,5
318,5,0,0,5
319,5,0,0,5
320,5,0,0,5
321,5,0,0,5
322,5,0,0,5
323,5,0,0,5
324,5,0,0,5
325,5,0,0,5
326,5,0,0,5
327,5,0,0,5
328,5,0,0,5
329,5,0,0,5
330,5,0,0,5
331,5,0,0,5
332,5,0,0,5
333,5,0,0,5
334,5,0,0,5
335,5,0,0,5
336,5,0,0,5
337,5,0,0,5
338,5,0,0,5
339,5,0,0,5
340,3,2,2,3
341,3,2,2,3
342,3,2,2,3
343,3,2,2,3
344,3,2,2,3
345,3,2,2,3
346,0,5,5,0
347,0,5,5,0
348,0,5,5,0
349,0,5,5,0
350,0,5,5,0
351,0,5,5,0
352,0,5,5,0
353,0,5,5,0
354,0,5,5,0
355,0,5,5,0
356,0,5,5,0
357,0,5,5,0
358,0,5,5,0
359,0,5,5,0
360,0,5,5,0
361,0,5,5,0
362,0,5,5,0
363,0,5,5,0
364,0,5,5,0
365,0,5,5,0
366,0,5,5,0
367,0,5,5,0
368,0,5,5,0
369,0,5,5,0
370,0,5,5,0
371,0,5,5,0
372,0,5,5,0
373,0,5,5,0
374,0,5,5,0
375,0,5,5,0
376,0,5,5,0
377,0,5,5,0
378,0,5,5,0
379,0,5,5,0
380,0,5,5,0
381,0,5,5,0
382,0,5,5,0
383,0,5,5,0
384,0,5,5,0
385,0,5,5,0
386,0,5,5,0
387,0,5,5,0
388,0,5,5,0
389,0,5,5,0
390,0,5,5,0
391,0,5,5,0
392,2,3,3,2
393,2,3,3,2
394,2,3,3,2
395,2,3,3,2
396,2,3,3,2
397,2,3,3,2
398,5,0,0,5
399,5,0,0,5
400,5,0,0,5
401,5,0,0,5
402,5,0,0,5
403,5,0,0,5
404,5,0,0,5
405,5,0,0,5
406,5,0,0,5
407,5,0,0,5
408,5,0,0,5
409,5,0,0,5
410,5,0,0,5
411,5,0,0,5
412,5,0,0,5
413,5,0,0,5
414,5,0,0,5
415,5,0,0,5
416,5,0,0,5
417,5,0,0,5
418,5,0,0,5
419,5,0,0,5
420,5,0,0,5
421,5,0,0,5
422,5,0,0,5
423,5,0,0,5
424,5,0,0,5
425,5,0,0,5
426,5,0,0,5
427,5,0,0,5
428,5,0,0,5
429,5,0,0,5
430,5,0,0,5
431,5,0,0,5
432,5,0,0,5
433,5,0,0,5
434,5,0,0,5
435,5,0,0,5
436,5,0,0,5
437,5,0,0,5
438,5,0,0,5
439,5,0,0,5
440,5,0,0,5
441,5,0,0,5
442,5,0,0,5
443,5,0,0,5
444,3,2,2,3
445,3,2,2,3
446,3,2,2,3
447,3,2,2,3
448,3,2,2,3
449,3,2,2,3
450,0,5,5,0
451,0,5,5,0
452,0,5,5,0
453,0,5,5,0
454,0,5,5,0
455,0,5,5,0
456,0,5,5,0
457,0,5,5,0
458,0,5,5,0
459,0,5,5,0
460,0,5,5,0
461,0,5,5,0
462,0,5,5,0
463,0,5,5,0
464,0,5,5,0
465,0,5,5,0
466,0,5,5,0
467,0,5,5,0
468,0,5,5,0
469,0,5,5,0
470,0,5,5,0
471,0,5,5,0
472,0,5,5,0
473,0,5,5,0
474,0,5,5,0
475,0,5,5,0
476,0,5,5,0
477,0,5,5,0
478,0,5,5,0
479,0,5,5,0
480,0,5,5,0
481,0,5,5,0
482,0,5,5,0
483,0,5,5,0
484,0,5,5,0
485,0,5,5,0
486,0,5,5,0
487,0,5,5,0
488,0,5,5,0
489,0,5,5,0
490,0,5,5,0
491,0,5,5,0
492,0,5,5,0
493,0,5,5,0
494,0,5,5,0
495,0,5,5,0
496,0,5,5,0
497,2,3,3,2
498,2,3,3,2
499,2,3,3,2
500,2,3,3,2
501,2,3,3,2
502,2,3,3,2
503,5,0,0,5
504,5,0,0,5
505,5,0,0,5
506,5,0,0,5
507,5,0,0,5
508,5,0,0,5
509,5,0,0,5
510,5,0,0,5
511,5,0,0,5
512,5,0,0,5
513,5,0,0,5
514,5,0,0,5
515,5,0,0,5
516,5,0,0,5
517,5,0,0,5
518,5,0,0,5
519,5,0,0,5
520,5,0,0,5
521,5,0,0,5
522,5,0,0,5
523,5,0,0,5
524,5,0,0,5
525,5,0,0,5
526,5,0,0,5
527,5,0,0,5
528,5,0,0,5
