case_id,initial_deviation_deg,scattering_protocol,scattering_kind,scattering_matrix_used,delta_f,t_delta_real,t_delta_imag,r_delta_real,r_delta_imag,transmission_rate,reflection_rate,q_out_factor,readout_mode,active_readout,step,chi_pass,chi_read,closure_complement,reflection_event_cell,D_AB_near_rad,D_AB_far_rad,D_AB_near_deg,D_AB_far_deg,V_AB,envelope_AB_abs,envelope_V_AB,f_AB_center,f_AB_circle,f_AB_projection_consistency_error,Q_raw,Q_closed,closure_relaxation,absolute_background_axis_used,f_A_or_f_B_used
near_pi_02deg,2.0,pass_through,pass,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,readout_off,False,0,0.03490658503988659,0.03490658503988659,0.0,False,3.1066860685499065,3.1764992386296798,178.0,182.0,0.0012184696791468343,0.03490658503988659,0.0012184696791468343,0.00014947535609722328,0.00014915531788587538,3.200382113479011e-07,0.0,0.0,0.0,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,readout_off,False,1,0.034831847361837975,0.034831847361837975,0.0022829998923466813,False,3.106760806227955,3.176424500951631,178.00428215352278,181.99571784647722,0.001213257590638379,0.034906585039886584,0.001218469679146834,0.00014915531788588205,0.00014915531788587538,6.667843360785852e-18,0.0,0.0,0.0,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,readout_off,False,2,0.034607954365903484,0.034607954365903484,0.0045562236286618134,False,3.1069846992238896,3.1762006079556966,178.01711027725239,181.98288972274761,0.001197710505392458,0.03490658503988659,0.0012184696791468343,0.00014819657370461248,0.0001481965737046148,2.3310346708438345e-18,0.0,0.0,0.0,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,readout_off,False,3,0.03423586479626438,0.03423586479626438,0.00680993691591484,False,3.107356788793529,3.1758285183860573,178.03842943919355,181.96157056080645,0.0011720944383480946,0.03490658503988659,0.0012184696791468343,0.00014660322904318788,0.0001466032290431893,1.4094628242311558e-18,0.0,0.0,0.0,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,readout_off,False,4,0.033717171997582084,0.033717171997582084,0.009034489007813383,False,3.107875481592211,3.1753098255873753,178.06814834742187,181.93185165257813,0.0011368476875145334,0.03490658503988659,0.0012184696791468343,0.0001443821068480631,0.00014438210684805663,6.478107980600889e-18,0.0,0.0,0.0,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,readout_off,False,5,0.03305409709205173,0.03305409709205173,0.011220354030780482,False,3.1085385564977415,3.1746467506818448,178.1061397410098,181.8938602589902,0.0010925733345707826,0.03490658503988659,0.0012184696791468345,0.0001415427183054707,0.00014154271830547904,8.348356728138384e-18,0.0,0.0,0.0,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,readout_off,False,6,0.0322494794682159,0.0322494794682159,0.013358171775207695,False,3.109343174121577,3.173842133058009,178.1522409349774,181.8477590650226,0.0010400289259708789,0.03490658503988659,0.0012184696791468345,0.00013809722211306078,0.0001380972221130608,2.710505431213761e-20,0.0,0.0,0.0,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,readout_off,False,7,0.03130676462226701,0.03130676462226701,0.015438787777309624,False,3.110285888967526,3.1728994182120602,178.20625451693462,181.79374548306538,0.0009801135111140293,0.03490658503988659,0.0012184696791468343,0.00013406037241449147,0.00013406037241448648,4.9873299934333204e-18,0.0,0.0,0.0,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,readout_off,False,8,0.03022998940390363,0.03022998940390363,0.017453292519943292,False,3.1113626641858896,3.1718226429936967,178.26794919243113,181.73205080756887,0.0009138522593601259,0.03490658503988659,0.0012184696791468343,0.00012944945561992055,0.00012944945561992743,6.884683795282953e-18,0.0,0.0,0.0,False,False
near_pi_02deg,2.0,pass_through,pass,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,readout_off,False,9,0.02902376472992033,0.02902376472992033,0.019393059584528353,False,3.112568888859873,3.1706164183197134,178.33706077539492,181.66293922460508,0.0008423789190977673,0.03490658503988659,0.0012184696791468343,0.00012428421638294314,0.00012428421638293816,4.9873299934333204e-18,0.0,0.0,0.0,False,False
