step,plane0_sigma0.333334
0,1.0000000000000007
20,1.0000000000000002
40,1.0000000000000004
60,1.0000000000000007
80,1.0000000000000007
100,1.0000000000000004
120,1.0000000000000004
140,1.0000000000000004
160,1.0000000000000004
180,1.0000000000000002
200,1.0000000000000002
220,1.0000000000000007
240,1.0000000000000002
260,1.0000000000000004
280,1.0000000000000004
300,1.0000000000000004
320,1.0000000000000009
340,1.0000000000000007
360,1.0000000000000002
380,1.0000000000000007
400,1.0000000000000004
420,1.0000000000000004
440,1.0000000000000002
460,1.0000000000000007
480,1.0000000000000004
500,1.0000000000000007
520,1.0000000000000004
540,1.0000000000000007
560,1.0000000000000002
580,1.0000000000000002
600,1.0000000000000004
620,1.0000000000000007
640,1.0000000000000007
660,1.0000000000000002
680,1.0000000000000007
700,1.0000000000000002
720,1.0000000000000002
740,1.0000000000000002
760,1.0000000000000002
780,1.0000000000000004
800,1.0000000000000009
820,1.0000000000000002
840,1.0000000000000004
860,1.0000000000000009
880,1.0000000000000009
900,1.0000000000000007
920,1.0000000000000004
940,1.0000000000000004
960,1.0000000000000002
980,1.0000000000000004
1000,1.0000000000000004
1020,1.0000000000000002
1040,1.0000000000000007
1060,1.0000000000000004
1080,1.0000000000000007
1100,1.0000000000000004
1120,1.0000000000000004
1140,1.0000000000000004
1160,1.0000000000000004
1180,1.0000000000000002
1200,1.0000000000000007
1220,1.0000000000000002
1240,1.0000000000000007
1260,1.0000000000000009
1280,1.0000000000000002
1300,1.0000000000000007
1320,1.0000000000000009
1340,1.0000000000000002
1360,1.0000000000000002
1380,1.0000000000000002
1400,1.0000000000000002
1420,1.0000000000000004
1440,1.0000000000000002
1460,1.0000000000000004
1480,1.0000000000000004
1500,1.0000000000000007
1520,1.0000000000000002
1540,1.0000000000000007
1560,1.0000000000000009
1580,1.0000000000000002
1600,1.0000000000000004
1620,1.0000000000000002
1640,1.0000000000000007
1660,1.0000000000000004
1680,1.0000000000000002
1700,1.0000000000000007
1720,1.0000000000000002
1740,1.0000000000000009
1760,1.0000000000000004
1780,1.0000000000000002
1800,1.0000000000000009
1820,1.0000000000000004
1840,1.0000000000000009
1860,1.0000000000000007
1880,1.0000000000000004
1900,1.0000000000000004
1920,1.0000000000000002
1940,1.0000000000000002
1960,1.0000000000000004
1980,1.0000000000000004
2000,1.0000000000000009
2020,1.0000000000000007
2040,1.0000000000000007
2060,1.0000000000000004
2080,1.0000000000000002
2100,1.0000000000000002
2120,1.0000000000000004
2140,1.0000000000000002
2160,1.0000000000000002
2180,1.0
2200,1.0000000000000007
2220,1.0000000000000004
2240,1.0000000000000009
2260,1.0000000000000007
2280,1.0000000000000004
2300,1.0000000000000007
2320,1.0000000000000007
2340,1.0000000000000004
2360,1.0000000000000004
2380,1.0000000000000004
2400,1.0000000000000007
2420,1.0000000000000009
2440,1.0000000000000004
2460,1.0000000000000002
2480,1.0000000000000004
2500,1.0000000000000002
2520,1.0000000000000004
2540,1.0000000000000007
2560,1.0000000000000004
2580,1.0000000000000009
2600,1.0000000000000002
2620,1.0000000000000002
2640,1.0000000000000009
2660,1.0000000000000002
2680,1.0000000000000004
2700,1.0000000000000004
2720,1.0000000000000007
2740,1.0000000000000004
2760,1.0000000000000009
2780,1.0000000000000007
2800,1.0000000000000004
2820,1.0000000000000002
2840,1.0000000000000002
2860,1.0000000000000002
2880,1.0000000000000007
2900,1.0000000000000002
2920,1.0000000000000007
2940,1.0000000000000004
2960,1.0
2980,1.0000000000000004
3000,1.0000000000000004
3020,1.0000000000000007
3040,1.0000000000000009
3060,1.0000000000000004
3080,1.0000000000000009
3100,1.0000000000000009
3120,1.0000000000000002
3140,1.0000000000000007
3160,1.0000000000000007
3180,1.0000000000000004
3200,1.0000000000000009
3220,1.0000000000000002
3240,1.0000000000000002
3260,1.0000000000000004
3280,1.0000000000000004
3300,1.0000000000000004
3320,1.0000000000000004
3340,1.0000000000000004
3360,1.0000000000000004
3380,1.0000000000000002
3400,1.0000000000000004
3420,1.0000000000000009
3440,1.0000000000000007
3460,1.0000000000000007
3480,1.0000000000000002
3500,1.0000000000000004
3520,1.0000000000000002
3540,1.0000000000000007
3560,1.0000000000000004
3580,1.0000000000000004
3600,1.0000000000000004
3620,1.0000000000000004
3640,1.0000000000000007
3660,1.0000000000000002
3680,1.0000000000000004
3700,1.0000000000000004
3720,1.0000000000000007
3740,1.0000000000000009
3760,1.0000000000000007
3780,1.0000000000000002
3800,1.0000000000000007
3820,1.0000000000000007
3840,1.0000000000000002
3860,1.0000000000000002
3880,1.0
3900,1.0000000000000002
3920,1.0000000000000009
3940,1.0000000000000004
3960,1.0000000000000004
3980,1.0000000000000002
4000,1.0000000000000004
4020,1.0000000000000007
4040,1.0000000000000009
4060,1.0000000000000004
4080,1.0000000000000004
4100,1.0000000000000009
4120,1.0000000000000007
4140,1.0000000000000002
4160,1.0000000000000007
4180,1.0000000000000004
4200,1.0000000000000002
4220,1.0000000000000004
4240,1.0000000000000007
4260,1.0
4280,1.0000000000000007
4300,1.0000000000000009
4320,1.0000000000000007
4340,1.0000000000000002
4360,1.0000000000000009
4380,1.0000000000000002
4400,1.0000000000000007
4420,1.0000000000000002
4440,1.0000000000000002
4460,1.0000000000000009
4480,1.0000000000000002
4500,1.0000000000000002
4520,1.0000000000000004
4540,1.0000000000000002
4560,1.0000000000000007
4580,1.0000000000000002
4600,1.0000000000000002
4620,1.0000000000000007
4640,1.0000000000000004
4660,1.0000000000000002
4680,1.0000000000000004
4700,1.0000000000000004
4720,1.0000000000000002
4740,1.0000000000000002
4760,1.0000000000000002
4780,1.0000000000000004
4800,1.0000000000000004
4820,1.0000000000000007
4840,1.0000000000000009
4860,1.0000000000000002
4880,1.0000000000000002
4900,1.0000000000000004
4920,1.0000000000000002
4940,1.0000000000000002
