step,a2<b2;ab<0,a2<b2;ab>0,a2>b2;ab<0,a2>b2;ab>0
0,0,6,4,0
1,0,6,4,0
2,0,6,4,0
3,0,6,4,0
4,0,6,4,0
5,0,6,4,0
6,0,6,4,0
7,0,6,4,0
8,0,6,4,0
9,0,6,4,0
10,0,6,4,0
11,0,6,4,0
12,0,6,4,0
13,0,6,4,0
14,0,6,4,0
15,0,6,4,0
16,0,6,4,0
17,0,6,4,0
18,0,6,4,0
19,0,6,4,0
20,0,6,4,0
21,0,6,4,0
22,0,6,4,0
23,0,6,3,1
24,0,6,3,1
25,0,6,3,1
26,0,6,3,1
27,0,6,3,1
28,6,0,3,1
29,6,0,3,1
30,6,0,3,1
31,6,0,3,1
32,6,0,3,1
33,6,0,3,1
34,6,0,0,4
35,6,0,0,4
36,6,0,0,4
37,6,0,0,4
38,6,0,0,4
39,6,0,0,4
40,6,0,0,4
41,6,0,0,4
42,6,0,0,4
43,6,0,0,4
44,6,0,0,4
45,6,0,0,4
46,6,0,0,4
47,6,0,0,4
48,6,0,0,4
49,6,0,0,4
50,6,0,0,4
51,6,0,0,4
52,6,0,0,4
53,6,0,0,4
54,6,0,0,4
55,6,0,0,4
56,6,0,0,4
57,6,0,0,4
58,6,0,0,4
59,6,0,0,4
60,6,0,0,4
61,6,0,0,4
62,6,0,0,4
63,6,0,0,4
64,6,0,0,4
65,6,0,0,4
66,6,0,0,4
67,6,1,0,3
68,6,1,0,3
69,6,1,0,3
70,6,1,0,3
71,6,1,0,3
72,6,1,0,3
73,6,1,0,3
74,6,1,0,3
75,6,1,0,3
76,6,1,0,3
77,6,1,0,3
78,0,1,6,3
79,0,1,6,3
80,0,1,6,3
81,0,1,6,3
82,0,1,6,3
83,0,1,6,3
84,0,1,6,3
85,0,1,6,3
86,0,1,6,3
87,0,1,6,3
88,0,1,6,3
89,0,1,6,3
90,0,1,6,3
91,0,1,6,3
92,0,1,6,3
93,0,1,6,3
94,0,1,6,3
95,0,1,6,3
96,0,1,6,3
97,0,1,6,3
98,0,1,6,3
99,0,1,6,3
100,0,1,6,3
101,0,1,6,3
102,0,1,6,3
103,0,1,6,3
104,0,4,6,0
105,0,4,6,0
106,0,4,6,0
107,0,4,6,0
108,0,4,6,0
109,0,4,6,0
110,0,4,6,0
111,0,4,6,0
112,0,4,6,0
113,0,4,6,0
114,1,3,6,0
115,1,3,6,0
116,1,3,6,0
117,1,3,6,0
118,1,3,6,0
119,1,3,6,0
120,1,3,6,0
121,1,3,6,0
122,1,3,6,0
123,1,3,6,0
124,1,3,6,0
125,1,3,0,6
126,1,3,0,6
127,1,3,0,6
128,1,3,0,6
129,1,3,0,6
130,1,3,0,6
131,1,3,0,6
132,1,3,0,6
133,1,3,0,6
134,1,3,0,6
135,1,3,0,6
136,1,3,0,6
137,1,3,0,6
138,1,3,0,6
139,1,3,0,6
140,1,3,0,6
141,1,3,0,6
142,1,3,0,6
143,1,3,0,6
144,1,3,0,6
145,1,3,0,6
146,1,3,0,6
147,1,3,0,6
148,1,3,0,6
149,1,3,0,6
150,1,3,0,6
151,1,3,0,6
152,1,3,0,6
153,1,3,0,6
154,1,3,0,6
155,1,3,0,6
156,1,3,0,6
157,1,3,0,6
158,1,3,0,6
159,1,3,0,6
160,1,3,0,6
161,1,3,0,6
162,1,3,0,6
163,1,3,0,6
164,0,3,1,6
165,0,3,1,6
166,0,3,1,6
167,0,3,1,6
168,0,3,1,6
169,0,9,1,0
170,0,9,1,0
171,0,9,1,0
172,0,9,1,0
173,0,9,1,0
174,0,9,1,0
175,0,9,1,0
176,0,9,1,0
177,0,9,1,0
178,0,9,1,0
179,0,9,1,0
180,0,9,1,0
181,0,9,1,0
182,0,9,1,0
183,0,9,1,0
184,0,9,1,0
185,0,9,1,0
186,0,9,1,0
187,0,9,1,0
188,0,9,1,0
189,0,9,1,0
190,0,9,1,0
191,0,9,1,0
192,0,9,1,0
193,0,9,1,0
194,0,9,1,0
195,0,9,1,0
196,0,9,1,0
197,0,9,1,0
198,0,9,1,0
199,0,9,1,0
200,0,9,1,0
201,0,9,1,0
202,0,9,1,0
203,0,9,1,0
204,0,9,1,0
205,0,9,1,0
206,0,9,1,0
207,0,9,1,0
208,0,9,1,0
209,0,9,1,0
210,0,9,1,0
211,6,3,1,0
212,6,3,1,0
213,6,3,1,0
214,6,3,1,0
215,6,3,1,0
216,6,3,0,1
217,6,3,0,1
218,6,3,0,1
219,6,3,0,1
220,6,3,0,1
221,6,3,0,1
222,6,3,0,1
223,6,3,0,1
224,6,3,0,1
225,6,3,0,1
226,6,3,0,1
227,6,3,0,1
228,6,3,0,1
229,6,3,0,1
230,6,3,0,1
231,6,3,0,1
232,6,3,0,1
233,6,3,0,1
234,6,3,0,1
235,6,3,0,1
236,6,3,0,1
237,6,3,0,1
238,6,3,0,1
239,6,3,0,1
240,6,3,0,1
241,6,3,0,1
242,6,3,0,1
243,6,3,0,1
244,6,3,0,1
245,6,3,0,1
246,6,3,0,1
247,6,3,0,1
248,6,3,0,1
249,6,3,0,1
250,6,3,0,1
251,6,3,0,1
252,6,3,0,1
253,6,3,0,1
254,0,3,6,1
255,0,3,6,1
256,0,3,6,1
257,0,3,6,1
258,0,3,6,1
259,0,3,6,1
260,0,3,6,1
261,0,3,6,1
262,0,3,6,1
263,0,3,6,1
264,0,3,6,1
265,0,3,6,1
266,0,4,6,0
267,0,4,6,0
268,0,4,6,0
269,0,4,6,0
270,0,4,6,0
271,0,4,6,0
272,0,4,6,0
273,0,4,6,0
274,0,4,6,0
275,0,4,6,0
276,0,4,6,0
277,3,1,6,0
278,3,1,6,0
279,3,1,6,0
280,3,1,6,0
281,3,1,6,0
282,3,1,6,0
283,3,1,6,0
284,3,1,6,0
285,3,1,6,0
286,3,1,6,0
287,3,1,6,0
288,3,1,6,0
289,3,1,6,0
290,3,1,6,0
291,3,1,6,0
292,3,1,6,0
293,3,1,6,0
294,3,1,6,0
295,3,1,6,0
296,3,1,6,0
297,3,1,6,0
298,3,1,6,0
299,3,1,6,0
300,3,1,6,0
301,3,1,0,6
302,3,1,0,6
303,3,1,0,6
304,3,1,0,6
305,3,1,0,6
306,3,1,0,6
307,3,1,0,6
308,3,1,0,6
309,3,1,0,6
310,3,1,0,6
311,3,1,0,6
312,4,0,0,6
313,4,0,0,6
314,4,0,0,6
315,4,0,0,6
316,4,0,0,6
317,4,0,0,6
318,4,0,0,6
319,4,0,0,6
320,4,0,0,6
321,4,0,0,6
322,4,0,0,6
323,4,0,0,6
324,4,0,0,6
325,4,0,0,6
326,4,0,0,6
327,4,0,0,6
328,4,0,0,6
329,4,0,0,6
330,4,0,0,6
331,4,0,0,6
332,4,0,0,6
333,4,0,0,6
334,4,0,0,6
335,4,0,0,6
336,4,0,0,6
337,4,0,0,6
338,4,0,0,6
339,4,0,0,6
340,4,0,0,6
341,4,0,0,6
342,4,0,0,6
343,4,0,0,6
344,4,0,0,6
345,4,0,0,6
346,1,0,3,6
347,1,0,3,6
348,1,0,3,6
349,1,0,3,6
350,1,0,3,6
351,1,6,3,0
352,1,6,3,0
353,1,6,3,0
354,1,6,3,0
355,1,6,3,0
356,0,6,4,0
357,0,6,4,0
358,0,6,4,0
359,0,6,4,0
360,0,6,4,0
361,0,6,4,0
362,0,6,4,0
363,0,6,4,0
364,0,6,4,0
365,0,6,4,0
366,0,6,4,0
367,0,6,4,0
368,0,6,4,0
369,0,6,4,0
370,0,6,4,0
371,0,6,4,0
372,0,6,4,0
373,0,6,4,0
374,0,6,4,0
375,0,6,4,0
376,0,6,4,0
377,0,6,4,0
378,0,6,4,0
379,0,6,4,0
380,0,6,4,0
381,0,6,4,0
382,0,6,4,0
383,0,6,4,0
384,0,6,4,0
385,0,6,4,0
386,0,6,4,0
387,0,6,4,0
388,0,6,4,0
389,0,6,4,0
390,0,6,4,0
391,0,6,4,0
392,0,6,4,0
393,0,6,4,0
394,0,6,4,0
395,0,6,4,0
396,0,6,4,0
397,0,6,4,0
398,0,6,3,1
399,0,6,3,1
400,0,6,3,1
