tau,f
0,1.0092797236847578e-30
1,5.8848570667417865e-08
2,2.3539498123585678e-07
3,5.296243358514883e-07
4,9.415004787404579e-07
5,1.470965992837894e-06
6,2.117942199250159e-06
7,2.88232915755956e-06
8,3.7640056669828194e-06
9,4.762829268399998e-06
10,5.878636247273311e-06
11,7.111241637473416e-06
12,8.460439226041827e-06
13,9.926001558919348e-06
14,1.1507679947661945e-05
15,1.3205204477191997e-05
16,1.5018284014609344e-05
17,1.6946606219106604e-05
18,1.8989837553039192e-05
19,2.114762329417865e-05
20,2.34195875492196e-05
21,2.5805333268566414e-05
22,2.8304442262480272e-05
23,3.091647521862212e-05
24,3.3640971721064165e-05
25,3.647745027081508e-05
26,3.942540830794934e-05
27,4.248432223537646e-05
28,4.565364744434935e-05
29,4.8932818341753884e-05
30,5.23212483792743e-05
31,5.581833008449689e-05
32,5.942343509403743e-05
33,6.313591418876469e-05
34,6.695509733120146e-05
35,7.088029370518925e-05
36,7.491079175790521e-05
37,7.90458592442931e-05
38,8.328474327401637e-05
39,8.762667036103776e-05
40,9.207084647585931e-05
41,9.661645710055799e-05
42,0.00010126266728672178
43,0.00010600862171630565
44,0.00011085344476558153
45,0.00011579624057223927
46,0.00012083609310570792
47,0.00012597206624084624
48,0.0001312032038350503
49,0.00013652852980888342
50,0.00014194704823035473
51,0.0001474577434028835
52,0.00015305957995709595
53,0.0001587515029465182
54,0.0001645324379472541
55,0.00017040129116178472
56,0.00017635694952691485
57,0.00018239828082601144
58,0.00018852413380560126
59,0.0001947333382964178
60,0.00020102470533897652
61,0.00020739702731380658
62,0.00021384907807635764
63,0.00022037961309671338
64,0.00022698736960419239
65,0.00023367106673687318
66,0.0002404294056961947
67,0.00024726106990662604
68,0.00025416472518053685
69,0.00026113901988832874
70,0.0002681825851338583
71,0.0002752940349352971
72,0.00028247196641137536
73,0.0002897149599732351
74,0.00029702157952178187
75,0.000304390372650647
76,0.0003118198708549356
77,0.00031930858974559
78,0.000326855029269606
79,0.0003344576739360126
80,0.0003421149930477693
81,0.0003498254409395043
82,0.00035758745722120586
83,0.000365399467027872
84,0.00037325988127513617
85,0.0003811670969208721
86,0.0003891194972328809
87,0.00039711545206252193
88,0.0004051533181244685
89,0.0004132314392824649
90,0.00042134814684115083
91,0.00042950175984390285
92,0.0004376905853767653
93,0.000445912918878372
94,0.0004541670444558748
95,0.00046245123520687113
96,0.0004707637535473344
97,0.0004791028515454087
98,0.00048746677126118446
99,0.0004958537450922729
100,0.0005042619961252313
101,0.0005126897384927783
102,0.0005211351777367089
103,0.0005295965111764692
104,0.0005380719282833895
105,0.0005465596110603764
106,0.0005550577344271624
107,0.0005635644666108422
108,0.0005720779695418315
109,0.0005805963992550025
110,0.000589117906295967
111,0.00059764063613239
112,0.0006061627295703073
113,0.0006146823231752587
114,0.0006231975496981221
115,0.0006317065385056581
116,0.0006402074160155259
117,0.000648698306135696
118,0.0006571773307081424
119,0.0006656426099566654
120,0.0006740922629387566
121,0.0006825244080012924
122,0.0006909371632399966
123,0.0006993286469624657
124,0.0007076969781546829
125,0.000716040276950715
126,0.0007243566651057242
127,0.0007326442664717073
128,0.000740901207476244
129,0.0007491256176038042
130,0.0007573156298795582
131,0.0007654693813553897
132,0.0007735850135982075
133,0.0007816606731799898
134,0.0007896945121697523
135,0.0007976846886269871
136,0.0008056293670965402
137,0.0008135267191046353
138,0.0008213749236559624
139,0.0008291721677314713
140,0.0008369166467868505
141,0.0008446065652513852
142,0.0008522401370269424
143,0.0008598155859871355
144,0.0008673311464760098
145,0.0008747850638065642
146,0.0008821755947584837
147,0.0008895010080750754
148,0.0008967595849591392
149,0.0009039496195676017
150,0.0009110694195046657
151,0.0009181173063132213
152,0.0009250916159643473
153,0.0009319906993447299
154,0.0009388129227416959
155,0.0009455566683257038
156,0.0009522203346300443
157,0.0009588023370274878
158,0.0009653011082038319
159,0.000971715098627926
160,0.000978042777018037
161,0.0009842826308044416
162,0.0009904331665878318
163,0.000996492910593523
164,0.001002460409121086
165,0.00100833422898926
166,0.0010141129579759908
167,0.0010197952052533286
168,0.001025379601816899
169,0.0010308648009099408
170,0.0010362494784414789
171,0.0010415323333986131
172,0.0010467120882527408
173,0.0010517874893591539
174,0.001056757307350392
175,0.0010616203375227486
176,0.0010663754002157493
177,0.0010710213411847204
178,0.0010755570319659186
179,0.0010799813702342324
180,0.0010842932801532782
181,0.0010884917127176018
182,0.0010925756460869781
183,0.0010965440859124465
184,0.0011003960656541805
185,0.0011041306468907352
186,0.0011077469196197833
187,0.0011112440025499925
188,0.00111462104338404
189,0.0011178772190925585
190,0.0011210117361788662
191,0.001124023830934337
192,0.0011269127696843632
193,0.001129677849024751
194,0.0011323183960483866
195,0.0011348337685620294
196,0.0011372233552933407
197,0.0011394865760877674
198,0.0011416228820953257
199,0.0011436317559472228
200,0.0011455127119220847
201,0.0011472652961019515
202,0.0011488890865176515
203,0.0011503836932837972
204,0.0011517487587229985
205,0.0011529839574796433
206,0.001154088996622854
207,0.001155063615738554
208,0.0011559075870110171
209,0.0011566207152933663
210,0.0011572028381672532
211,0.0011576538259916334
212,0.0011579735819406659
213,0.0011581620420306079
214,0.0011582191751357775
215,0.0011581449829936698
216,0.0011579395001989551
217,0.001157602794186663
218,0.0011571349652043795
219,0.0011565361462736391
220,0.001155806503140268
221,0.001154946234214006
222,0.0011539555704972455
223,0.001152834775503061
224,0.0011515841451625183
225,0.0011502040077211125
226,0.0011486947236249174
227,0.0011470566853959026
228,0.0011452903174969484
229,0.0011433960761863037
230,0.0011413744493618955
231,0.001139225956395186
232,0.00113695114795505
233,0.001134550605821512
234,0.001132024942689547
235,0.0011293748019629909
236,0.0011266008575387995
237,0.0011237038135816016
238,0.0011206844042887048
239,0.0011175433936458168
240,0.0011142815751734479
241,0.001110899771664273
242,0.0011073988349113429
243,0.0011037796454276172
244,0.00110004311215671
245,0.0010961901721750896
246,0.0010922217903859633
247,0.0010881389592047458
248,0.0010839426982366858
249,0.0010796340539463674
250,0.0010752140993195633
251,0.0010706839335175439
252,0.001066044681523894
253,0.0010612974937842061
254,0.0010564435458386217
255,0.0010514840379476189
256,0.0010464201947110348
257,0.0010412532646806609
