config_id,R_C_over_R_A,coupling_C,C_offset,projection_mode,projection_description,sigma_AC,sigma_BC,C_cell_count,C_cell_width,resolved_case_count,resolution_valid,clock_error,clock_valid,closure_valid,decomposition_valid,AB_dominant_valid,pair_sign_crossing,max_c_bias_ratio_to_f_AB,max_c_asymmetry_ratio_to_f_AB,f_ABC_common_mode_ratio,fit_valid_native,fit_valid_pair_tau_ABC,fit_valid_c_bias,fit_valid_c_asymmetry,fit_valid_common_mode_direct_control,alpha_native_AB_tau_ABC,alpha_pair_tau_ABC,alpha_pair_tau_AB,alpha_pair_tau_AC,alpha_pair_tau_BC,alpha_c_bias_tau_ABC,alpha_c_asymmetry_tau_ABC,alpha_common_mode_direct_control_tau_ABC,alpha_class_native_AB_tau_ABC,alpha_class_pair_tau_ABC,alpha_class_pair_tau_AB,alpha_class_pair_tau_AC,alpha_class_pair_tau_BC,alpha_class_c_bias_tau_ABC,alpha_class_c_asymmetry_tau_ABC,alpha_class_common_mode_direct_control_tau_ABC,tau_AB_alpha_delta_from_tau_ABC,tau_AC_alpha_delta_from_tau_ABC,tau_BC_alpha_delta_from_tau_ABC,log_rmse_pair_tau_ABC,inverse_term_injected,inverse_square_term_injected
Rc0.5_eps0.005_off-0.08_c_opposes_ab,0.5,0.005,-0.08,c_opposes_ab,f_AC and f_BC oppose the AB-closing local directions.,-1.0,-1.0,48,0.1308996938995747,3,False,0.125125,True,True,False,True,False,0.007161972439135291,0.0005729577951308235,0.0025,True,True,True,True,True,-1.0000000000000002,-1.1246382325334134,-1.9728069937941042,-1.1246382325334139,-1.1246382325334137,-1.7290307733190832e-15,-8.645153866595417e-15,-1.1197302687699116,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606907,-4.440892098500626e-16,-2.220446049250313e-16,0.005638369811372168,False,False
Rc0.5_eps0.005_off-0.08_c_assists_ab,0.5,0.005,-0.08,c_assists_ab,f_AC and f_BC assist the AB-closing local directions.,1.0,1.0,48,0.1308996938995747,3,False,0.125125,True,True,False,True,False,0.007161972439135291,0.0005729577951308235,0.0025,True,True,True,True,True,-1.0000000000000002,-1.1148690973520037,-1.9630378586126935,-1.114869097352004,-1.1148690973520037,-1.7290307733190832e-15,-8.645153866595417e-15,-1.1100539983719948,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606899,-2.220446049250313e-16,0.0,0.006187652708082427,False,False
Rc0.5_eps0.005_off-0.08_a_opposes_b_assists,0.5,0.005,-0.08,a_opposes_b_assists,C relation opposes A-side and assists B-side.,-1.0,1.0,48,0.1308996938995747,3,False,0.125125,True,True,False,True,False,0.0005729577951308235,0.007161972439135291,0.0025,True,True,True,True,True,-1.0000000000000002,-1.1193396627364476,-1.9675084239971388,-1.1193396627364476,-1.1193396627364476,-8.645153866595417e-15,-1.7290307733190832e-15,-1.114482203396491,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606912,0.0,0.0,0.005937509532776005,False,False
Rc0.5_eps0.005_off-0.08_a_assists_b_opposes,0.5,0.005,-0.08,a_assists_b_opposes,C relation assists A-side and opposes B-side.,1.0,-1.0,48,0.1308996938995747,3,False,0.125125,True,True,False,True,False,0.0005729577951308235,0.007161972439135291,0.0025,True,True,True,True,True,-1.0000000000000002,-1.1201211742658734,-1.9682899355265642,-1.1201211742658739,-1.1201211742658734,-8.645153866595417e-15,-1.7290307733190832e-15,-1.1152562861628461,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606907,-4.440892098500626e-16,0.0,0.005893569762559208,False,False
Rc0.5_eps0.005_off0_c_opposes_ab,0.5,0.005,0.0,c_opposes_ab,f_AC and f_BC oppose the AB-closing local directions.,-1.0,-1.0,48,0.1308996938995747,3,False,0.125125,True,True,False,True,False,0.007161972439135291,0.0,0.0025,True,True,True,False,True,-1.0000000000000002,-1.1246382325334134,-1.9728069937941042,-1.1246382325334134,-1.1246382325334134,-1.7290307733190832e-15,0.0,-1.1197302687699116,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,unfit,proportional_like_alpha_minus1,-0.8481687612606907,0.0,0.0,0.005638369811372168,False,False
Rc0.5_eps0.005_off0_c_assists_ab,0.5,0.005,0.0,c_assists_ab,f_AC and f_BC assist the AB-closing local directions.,1.0,1.0,48,0.1308996938995747,3,False,0.125125,True,True,False,True,False,0.007161972439135291,0.0,0.0025,True,True,True,False,True,-1.0000000000000002,-1.1148690973520037,-1.9630378586126935,-1.1148690973520037,-1.1148690973520037,-1.7290307733190832e-15,0.0,-1.1100539983719948,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,unfit,proportional_like_alpha_minus1,-0.8481687612606899,0.0,0.0,0.006187652708082427,False,False
Rc0.5_eps0.005_off0_a_opposes_b_assists,0.5,0.005,0.0,a_opposes_b_assists,C relation opposes A-side and assists B-side.,-1.0,1.0,48,0.1308996938995747,3,False,0.125125,True,True,False,True,False,0.0,0.007161972439135291,0.0025,True,True,False,True,True,-1.0000000000000002,-1.1197302687699116,-1.9678990300306012,-1.1197302687699116,-1.1197302687699116,0.0,-1.7290307733190832e-15,-1.1148690973520037,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,unfit,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606896,0.0,0.0,0.005915555932828256,False,False
Rc0.5_eps0.005_off0_a_assists_b_opposes,0.5,0.005,0.0,a_assists_b_opposes,C relation assists A-side and opposes B-side.,1.0,-1.0,48,0.1308996938995747,3,False,0.125125,True,True,False,True,False,0.0,0.007161972439135291,0.0025,True,True,False,True,True,-1.0000000000000002,-1.1197302687699116,-1.9678990300306012,-1.1197302687699116,-1.1197302687699116,0.0,-1.7290307733190832e-15,-1.1148690973520037,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,unfit,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606896,0.0,0.0,0.005915555932828256,False,False
Rc0.5_eps0.005_off0.08_c_opposes_ab,0.5,0.005,0.08,c_opposes_ab,f_AC and f_BC oppose the AB-closing local directions.,-1.0,-1.0,48,0.1308996938995747,3,False,0.125125,True,True,False,True,False,0.007161972439135291,0.0005729577951308235,0.0025,True,True,True,True,True,-1.0000000000000002,-1.1246382325334134,-1.9728069937941042,-1.1246382325334137,-1.1246382325334139,-1.7290307733190832e-15,-8.645153866595417e-15,-1.1197302687699116,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606907,-2.220446049250313e-16,-4.440892098500626e-16,0.005638369811372168,False,False
Rc0.5_eps0.005_off0.08_c_assists_ab,0.5,0.005,0.08,c_assists_ab,f_AC and f_BC assist the AB-closing local directions.,1.0,1.0,48,0.1308996938995747,3,False,0.125125,True,True,False,True,False,0.007161972439135291,0.0005729577951308235,0.0025,True,True,True,True,True,-1.0000000000000002,-1.1148690973520037,-1.9630378586126935,-1.1148690973520037,-1.114869097352004,-1.7290307733190832e-15,-8.645153866595417e-15,-1.1100539983719948,proportional_like_alpha_minus1,proportional_like_alpha_minus1,area_like_alpha_minus2,proportional_like_alpha_minus1,proportional_like_alpha_minus1,constant_like_alpha0,constant_like_alpha0,proportional_like_alpha_minus1,-0.8481687612606899,0.0,-2.220446049250313e-16,0.006187652708082427,False,False
