N,k,historical_steps,historical_seed,historical_status,reproduction_steps,reproduction_seed,reproduction_status
14,7,,,NOT_RECOVERED,4000000,202608261407,NEW_REPRODUCTION_NOT_HISTORICAL
14,8,,,NOT_RECOVERED,4000000,202608261408,NEW_REPRODUCTION_NOT_HISTORICAL
14,9,,,NOT_RECOVERED,4000000,202608261409,NEW_REPRODUCTION_NOT_HISTORICAL
14,10,,,NOT_RECOVERED,4000000,202608261410,NEW_REPRODUCTION_NOT_HISTORICAL
14,11,,,NOT_RECOVERED,4000000,202608261411,NEW_REPRODUCTION_NOT_HISTORICAL
14,12,,,NOT_RECOVERED,4000000,202608261412,NEW_REPRODUCTION_NOT_HISTORICAL
15,7,,,NOT_RECOVERED,4000000,202608261507,NEW_REPRODUCTION_NOT_HISTORICAL
15,8,,,NOT_RECOVERED,4000000,202608261508,NEW_REPRODUCTION_NOT_HISTORICAL
15,9,,,NOT_RECOVERED,4000000,202608261509,NEW_REPRODUCTION_NOT_HISTORICAL
15,10,,,NOT_RECOVERED,4000000,202608261510,NEW_REPRODUCTION_NOT_HISTORICAL
15,11,,,NOT_RECOVERED,4000000,202608261511,NEW_REPRODUCTION_NOT_HISTORICAL
15,12,,,NOT_RECOVERED,4000000,202608261512,NEW_REPRODUCTION_NOT_HISTORICAL
15,13,,,NOT_RECOVERED,4000000,202608261513,NEW_REPRODUCTION_NOT_HISTORICAL
16,7,,,NOT_RECOVERED,4000000,202608261607,NEW_REPRODUCTION_NOT_HISTORICAL
16,8,,,NOT_RECOVERED,4000000,202608261608,NEW_REPRODUCTION_NOT_HISTORICAL
16,9,,,NOT_RECOVERED,4000000,202608261609,NEW_REPRODUCTION_NOT_HISTORICAL
16,10,,,NOT_RECOVERED,4000000,202608261610,NEW_REPRODUCTION_NOT_HISTORICAL
16,11,,,NOT_RECOVERED,4000000,202608261611,NEW_REPRODUCTION_NOT_HISTORICAL
16,12,,,NOT_RECOVERED,4000000,202608261612,NEW_REPRODUCTION_NOT_HISTORICAL
16,13,,,NOT_RECOVERED,4000000,202608261613,NEW_REPRODUCTION_NOT_HISTORICAL
16,14,,,NOT_RECOVERED,4000000,202608261614,NEW_REPRODUCTION_NOT_HISTORICAL
