K,m_a,m_b,K_factors,m_a_factors,m_b_factors,both_prime,gcd_ma_mb,coprime_exponents,gcd_K_ma,gcd_K_mb,order_a,order_b,gcd_orders,pair_order,cartesian_size,crt_independent,smallest_common_generator_exponent_d,reduced_a_over_d,reduced_b_over_d,pair_uses_full_ZK,pair_has_shorter_cycle,direct_integer_multiple
8,4,6,2^3,2^2,2*3,False,2,False,4,2,2,4,2,4,8,False,2,2,3,False,True,False
8,4,7,2^3,2^2,7,False,1,True,4,1,2,8,2,8,16,False,1,4,7,True,False,False
8,5,6,2^3,5,2*3,False,1,True,1,2,8,4,4,8,32,False,1,5,6,True,False,False
8,5,7,2^3,5,7,True,1,True,1,1,8,8,8,8,64,False,1,5,7,True,False,False
8,6,7,2^3,2*3,7,False,1,True,2,1,4,8,4,8,32,False,1,6,7,True,False,False
10,1,2,2*5,1,2,False,1,True,1,2,10,5,5,10,50,False,1,1,2,True,False,True
10,1,3,2*5,1,3,False,1,True,1,1,10,10,10,10,100,False,1,1,3,True,False,True
10,1,4,2*5,1,2^2,False,1,True,1,2,10,5,5,10,50,False,1,1,4,True,False,True
10,1,5,2*5,1,5,False,1,True,1,5,10,2,2,10,20,False,1,1,5,True,False,True
10,1,6,2*5,1,2*3,False,1,True,1,2,10,5,5,10,50,False,1,1,6,True,False,True
10,1,7,2*5,1,7,False,1,True,1,1,10,10,10,10,100,False,1,1,7,True,False,True
10,1,8,2*5,1,2^3,False,1,True,1,2,10,5,5,10,50,False,1,1,8,True,False,True
10,1,9,2*5,1,3^2,False,1,True,1,1,10,10,10,10,100,False,1,1,9,True,False,True
10,2,3,2*5,2,3,True,1,True,2,1,5,10,5,10,50,False,1,2,3,True,False,False
10,2,4,2*5,2,2^2,False,2,False,2,2,5,5,5,5,25,False,2,1,2,False,True,True
10,2,5,2*5,2,5,True,1,True,2,5,5,2,1,10,10,True,1,2,5,True,False,False
10,2,6,2*5,2,2*3,False,2,False,2,2,5,5,5,5,25,False,2,1,3,False,True,True
10,2,7,2*5,2,7,True,1,True,2,1,5,10,5,10,50,False,1,2,7,True,False,False
10,2,8,2*5,2,2^3,False,2,False,2,2,5,5,5,5,25,False,2,1,4,False,True,True
10,2,9,2*5,2,3^2,False,1,True,2,1,5,10,5,10,50,False,1,2,9,True,False,False
10,3,4,2*5,3,2^2,False,1,True,1,2,10,5,5,10,50,False,1,3,4,True,False,False
10,3,5,2*5,3,5,True,1,True,1,5,10,2,2,10,20,False,1,3,5,True,False,False
10,3,6,2*5,3,2*3,False,3,False,1,2,10,5,5,10,50,False,1,3,6,True,False,True
10,3,7,2*5,3,7,True,1,True,1,1,10,10,10,10,100,False,1,3,7,True,False,False
10,3,8,2*5,3,2^3,False,1,True,1,2,10,5,5,10,50,False,1,3,8,True,False,False
10,3,9,2*5,3,3^2,False,3,False,1,1,10,10,10,10,100,False,1,3,9,True,False,True
10,4,5,2*5,2^2,5,False,1,True,2,5,5,2,1,10,10,True,1,4,5,True,False,False
10,4,6,2*5,2^2,2*3,False,2,False,2,2,5,5,5,5,25,False,2,2,3,False,True,False
10,4,7,2*5,2^2,7,False,1,True,2,1,5,10,5,10,50,False,1,4,7,True,False,False
10,4,8,2*5,2^2,2^3,False,4,False,2,2,5,5,5,5,25,False,2,2,4,False,True,True
10,4,9,2*5,2^2,3^2,False,1,True,2,1,5,10,5,10,50,False,1,4,9,True,False,False
10,5,6,2*5,5,2*3,False,1,True,5,2,2,5,1,10,10,True,1,5,6,True,False,False
10,5,7,2*5,5,7,True,1,True,5,1,2,10,2,10,20,False,1,5,7,True,False,False
10,5,8,2*5,5,2^3,False,1,True,5,2,2,5,1,10,10,True,1,5,8,True,False,False
10,5,9,2*5,5,3^2,False,1,True,5,1,2,10,2,10,20,False,1,5,9,True,False,False
10,6,7,2*5,2*3,7,False,1,True,2,1,5,10,5,10,50,False,1,6,7,True,False,False
10,6,8,2*5,2*3,2^3,False,2,False,2,2,5,5,5,5,25,False,2,3,4,False,True,False
10,6,9,2*5,2*3,3^2,False,3,False,2,1,5,10,5,10,50,False,1,6,9,True,False,False
10,7,8,2*5,7,2^3,False,1,True,1,2,10,5,5,10,50,False,1,7,8,True,False,False
10,7,9,2*5,7,3^2,False,1,True,1,1,10,10,10,10,100,False,1,7,9,True,False,False
10,8,9,2*5,2^3,3^2,False,1,True,2,1,5,10,5,10,50,False,1,8,9,True,False,False
12,1,2,2^2*3,1,2,False,1,True,1,2,12,6,6,12,72,False,1,1,2,True,False,True
12,1,3,2^2*3,1,3,False,1,True,1,3,12,4,4,12,48,False,1,1,3,True,False,True
12,1,4,2^2*3,1,2^2,False,1,True,1,4,12,3,3,12,36,False,1,1,4,True,False,True
12,1,5,2^2*3,1,5,False,1,True,1,1,12,12,12,12,144,False,1,1,5,True,False,True
12,1,6,2^2*3,1,2*3,False,1,True,1,6,12,2,2,12,24,False,1,1,6,True,False,True
12,1,7,2^2*3,1,7,False,1,True,1,1,12,12,12,12,144,False,1,1,7,True,False,True
12,1,8,2^2*3,1,2^3,False,1,True,1,4,12,3,3,12,36,False,1,1,8,True,False,True
12,1,9,2^2*3,1,3^2,False,1,True,1,3,12,4,4,12,48,False,1,1,9,True,False,True
12,1,10,2^2*3,1,2*5,False,1,True,1,2,12,6,6,12,72,False,1,1,10,True,False,True
12,1,11,2^2*3,1,11,False,1,True,1,1,12,12,12,12,144,False,1,1,11,True,False,True
12,2,3,2^2*3,2,3,True,1,True,2,3,6,4,2,12,24,False,1,2,3,True,False,False
12,2,4,2^2*3,2,2^2,False,2,False,2,4,6,3,3,6,18,False,2,1,2,False,True,True
12,2,5,2^2*3,2,5,True,1,True,2,1,6,12,6,12,72,False,1,2,5,True,False,False
12,2,6,2^2*3,2,2*3,False,2,False,2,6,6,2,2,6,12,False,2,1,3,False,True,True
12,2,7,2^2*3,2,7,True,1,True,2,1,6,12,6,12,72,False,1,2,7,True,False,False
12,2,8,2^2*3,2,2^3,False,2,False,2,4,6,3,3,6,18,False,2,1,4,False,True,True
12,2,9,2^2*3,2,3^2,False,1,True,2,3,6,4,2,12,24,False,1,2,9,True,False,False
12,2,10,2^2*3,2,2*5,False,2,False,2,2,6,6,6,6,36,False,2,1,5,False,True,True
12,2,11,2^2*3,2,11,True,1,True,2,1,6,12,6,12,72,False,1,2,11,True,False,False
12,3,4,2^2*3,3,2^2,False,1,True,3,4,4,3,1,12,12,True,1,3,4,True,False,False
12,3,5,2^2*3,3,5,True,1,True,3,1,4,12,4,12,48,False,1,3,5,True,False,False
12,3,6,2^2*3,3,2*3,False,3,False,3,6,4,2,2,4,8,False,3,1,2,False,True,True
12,3,7,2^2*3,3,7,True,1,True,3,1,4,12,4,12,48,False,1,3,7,True,False,False
12,3,8,2^2*3,3,2^3,False,1,True,3,4,4,3,1,12,12,True,1,3,8,True,False,False
12,3,9,2^2*3,3,3^2,False,3,False,3,3,4,4,4,4,16,False,3,1,3,False,True,True
12,3,10,2^2*3,3,2*5,False,1,True,3,2,4,6,2,12,24,False,1,3,10,True,False,False
12,3,11,2^2*3,3,11,True,1,True,3,1,4,12,4,12,48,False,1,3,11,True,False,False
12,4,5,2^2*3,2^2,5,False,1,True,4,1,3,12,3,12,36,False,1,4,5,True,False,False
12,4,6,2^2*3,2^2,2*3,False,2,False,4,6,3,2,1,6,6,True,2,2,3,False,True,False
12,4,7,2^2*3,2^2,7,False,1,True,4,1,3,12,3,12,36,False,1,4,7,True,False,False
12,4,8,2^2*3,2^2,2^3,False,4,False,4,4,3,3,3,3,9,False,4,1,2,False,True,True
12,4,9,2^2*3,2^2,3^2,False,1,True,4,3,3,4,1,12,12,True,1,4,9,True,False,False
12,4,10,2^2*3,2^2,2*5,False,2,False,4,2,3,6,3,6,18,False,2,2,5,False,True,False
12,4,11,2^2*3,2^2,11,False,1,True,4,1,3,12,3,12,36,False,1,4,11,True,False,False
12,5,6,2^2*3,5,2*3,False,1,True,1,6,12,2,2,12,24,False,1,5,6,True,False,False
12,5,7,2^2*3,5,7,True,1,True,1,1,12,12,12,12,144,False,1,5,7,True,False,False
12,5,8,2^2*3,5,2^3,False,1,True,1,4,12,3,3,12,36,False,1,5,8,True,False,False
12,5,9,2^2*3,5,3^2,False,1,True,1,3,12,4,4,12,48,False,1,5,9,True,False,False
12,5,10,2^2*3,5,2*5,False,5,False,1,2,12,6,6,12,72,False,1,5,10,True,False,True
12,5,11,2^2*3,5,11,True,1,True,1,1,12,12,12,12,144,False,1,5,11,True,False,False
12,6,7,2^2*3,2*3,7,False,1,True,6,1,2,12,2,12,24,False,1,6,7,True,False,False
12,6,8,2^2*3,2*3,2^3,False,2,False,6,4,2,3,1,6,6,True,2,3,4,False,True,False
12,6,9,2^2*3,2*3,3^2,False,3,False,6,3,2,4,2,4,8,False,3,2,3,False,True,False
12,6,10,2^2*3,2*3,2*5,False,2,False,6,2,2,6,2,6,12,False,2,3,5,False,True,False
12,6,11,2^2*3,2*3,11,False,1,True,6,1,2,12,2,12,24,False,1,6,11,True,False,False
12,7,8,2^2*3,7,2^3,False,1,True,1,4,12,3,3,12,36,False,1,7,8,True,False,False
12,7,9,2^2*3,7,3^2,False,1,True,1,3,12,4,4,12,48,False,1,7,9,True,False,False
12,7,10,2^2*3,7,2*5,False,1,True,1,2,12,6,6,12,72,False,1,7,10,True,False,False
12,7,11,2^2*3,7,11,True,1,True,1,1,12,12,12,12,144,False,1,7,11,True,False,False
12,8,9,2^2*3,2^3,3^2,False,1,True,4,3,3,4,1,12,12,True,1,8,9,True,False,False
12,8,10,2^2*3,2^3,2*5,False,2,False,4,2,3,6,3,6,18,False,2,4,5,False,True,False
12,8,11,2^2*3,2^3,11,False,1,True,4,1,3,12,3,12,36,False,1,8,11,True,False,False
12,9,10,2^2*3,3^2,2*5,False,1,True,3,2,4,6,2,12,24,False,1,9,10,True,False,False
12,9,11,2^2*3,3^2,11,False,1,True,3,1,4,12,4,12,48,False,1,9,11,True,False,False
12,10,11,2^2*3,2*5,11,False,1,True,2,1,6,12,6,12,72,False,1,10,11,True,False,False
15,1,2,3*5,1,2,False,1,True,1,1,15,15,15,15,225,False,1,1,2,True,False,True
15,1,3,3*5,1,3,False,1,True,1,3,15,5,5,15,75,False,1,1,3,True,False,True
15,1,4,3*5,1,2^2,False,1,True,1,1,15,15,15,15,225,False,1,1,4,True,False,True
15,1,5,3*5,1,5,False,1,True,1,5,15,3,3,15,45,False,1,1,5,True,False,True
15,1,6,3*5,1,2*3,False,1,True,1,3,15,5,5,15,75,False,1,1,6,True,False,True
15,1,7,3*5,1,7,False,1,True,1,1,15,15,15,15,225,False,1,1,7,True,False,True
15,1,8,3*5,1,2^3,False,1,True,1,1,15,15,15,15,225,False,1,1,8,True,False,True
15,1,9,3*5,1,3^2,False,1,True,1,3,15,5,5,15,75,False,1,1,9,True,False,True
15,1,10,3*5,1,2*5,False,1,True,1,5,15,3,3,15,45,False,1,1,10,True,False,True
15,1,11,3*5,1,11,False,1,True,1,1,15,15,15,15,225,False,1,1,11,True,False,True
15,1,12,3*5,1,2^2*3,False,1,True,1,3,15,5,5,15,75,False,1,1,12,True,False,True
15,1,13,3*5,1,13,False,1,True,1,1,15,15,15,15,225,False,1,1,13,True,False,True
15,1,14,3*5,1,2*7,False,1,True,1,1,15,15,15,15,225,False,1,1,14,True,False,True
15,2,3,3*5,2,3,True,1,True,1,3,15,5,5,15,75,False,1,2,3,True,False,False
15,2,4,3*5,2,2^2,False,2,False,1,1,15,15,15,15,225,False,1,2,4,True,False,True
15,2,5,3*5,2,5,True,1,True,1,5,15,3,3,15,45,False,1,2,5,True,False,False
15,2,6,3*5,2,2*3,False,2,False,1,3,15,5,5,15,75,False,1,2,6,True,False,True
15,2,7,3*5,2,7,True,1,True,1,1,15,15,15,15,225,False,1,2,7,True,False,False
15,2,8,3*5,2,2^3,False,2,False,1,1,15,15,15,15,225,False,1,2,8,True,False,True
15,2,9,3*5,2,3^2,False,1,True,1,3,15,5,5,15,75,False,1,2,9,True,False,False
15,2,10,3*5,2,2*5,False,2,False,1,5,15,3,3,15,45,False,1,2,10,True,False,True
15,2,11,3*5,2,11,True,1,True,1,1,15,15,15,15,225,False,1,2,11,True,False,False
15,2,12,3*5,2,2^2*3,False,2,False,1,3,15,5,5,15,75,False,1,2,12,True,False,True
15,2,13,3*5,2,13,True,1,True,1,1,15,15,15,15,225,False,1,2,13,True,False,False
15,2,14,3*5,2,2*7,False,2,False,1,1,15,15,15,15,225,False,1,2,14,True,False,True
15,3,4,3*5,3,2^2,False,1,True,3,1,5,15,5,15,75,False,1,3,4,True,False,False
15,3,5,3*5,3,5,True,1,True,3,5,5,3,1,15,15,True,1,3,5,True,False,False
15,3,6,3*5,3,2*3,False,3,False,3,3,5,5,5,5,25,False,3,1,2,False,True,True
15,3,7,3*5,3,7,True,1,True,3,1,5,15,5,15,75,False,1,3,7,True,False,False
15,3,8,3*5,3,2^3,False,1,True,3,1,5,15,5,15,75,False,1,3,8,True,False,False
15,3,9,3*5,3,3^2,False,3,False,3,3,5,5,5,5,25,False,3,1,3,False,True,True
15,3,10,3*5,3,2*5,False,1,True,3,5,5,3,1,15,15,True,1,3,10,True,False,False
15,3,11,3*5,3,11,True,1,True,3,1,5,15,5,15,75,False,1,3,11,True,False,False
15,3,12,3*5,3,2^2*3,False,3,False,3,3,5,5,5,5,25,False,3,1,4,False,True,True
15,3,13,3*5,3,13,True,1,True,3,1,5,15,5,15,75,False,1,3,13,True,False,False
15,3,14,3*5,3,2*7,False,1,True,3,1,5,15,5,15,75,False,1,3,14,True,False,False
15,4,5,3*5,2^2,5,False,1,True,1,5,15,3,3,15,45,False,1,4,5,True,False,False
15,4,6,3*5,2^2,2*3,False,2,False,1,3,15,5,5,15,75,False,1,4,6,True,False,False
15,4,7,3*5,2^2,7,False,1,True,1,1,15,15,15,15,225,False,1,4,7,True,False,False
15,4,8,3*5,2^2,2^3,False,4,False,1,1,15,15,15,15,225,False,1,4,8,True,False,True
15,4,9,3*5,2^2,3^2,False,1,True,1,3,15,5,5,15,75,False,1,4,9,True,False,False
15,4,10,3*5,2^2,2*5,False,2,False,1,5,15,3,3,15,45,False,1,4,10,True,False,False
15,4,11,3*5,2^2,11,False,1,True,1,1,15,15,15,15,225,False,1,4,11,True,False,False
15,4,12,3*5,2^2,2^2*3,False,4,False,1,3,15,5,5,15,75,False,1,4,12,True,False,True
15,4,13,3*5,2^2,13,False,1,True,1,1,15,15,15,15,225,False,1,4,13,True,False,False
15,4,14,3*5,2^2,2*7,False,2,False,1,1,15,15,15,15,225,False,1,4,14,True,False,False
15,5,6,3*5,5,2*3,False,1,True,5,3,3,5,1,15,15,True,1,5,6,True,False,False
15,5,7,3*5,5,7,True,1,True,5,1,3,15,3,15,45,False,1,5,7,True,False,False
15,5,8,3*5,5,2^3,False,1,True,5,1,3,15,3,15,45,False,1,5,8,True,False,False
15,5,9,3*5,5,3^2,False,1,True,5,3,3,5,1,15,15,True,1,5,9,True,False,False
15,5,10,3*5,5,2*5,False,5,False,5,5,3,3,3,3,9,False,5,1,2,False,True,True
15,5,11,3*5,5,11,True,1,True,5,1,3,15,3,15,45,False,1,5,11,True,False,False
15,5,12,3*5,5,2^2*3,False,1,True,5,3,3,5,1,15,15,True,1,5,12,True,False,False
15,5,13,3*5,5,13,True,1,True,5,1,3,15,3,15,45,False,1,5,13,True,False,False
15,5,14,3*5,5,2*7,False,1,True,5,1,3,15,3,15,45,False,1,5,14,True,False,False
15,6,7,3*5,2*3,7,False,1,True,3,1,5,15,5,15,75,False,1,6,7,True,False,False
15,6,8,3*5,2*3,2^3,False,2,False,3,1,5,15,5,15,75,False,1,6,8,True,False,False
15,6,9,3*5,2*3,3^2,False,3,False,3,3,5,5,5,5,25,False,3,2,3,False,True,False
15,6,10,3*5,2*3,2*5,False,2,False,3,5,5,3,1,15,15,True,1,6,10,True,False,False
15,6,11,3*5,2*3,11,False,1,True,3,1,5,15,5,15,75,False,1,6,11,True,False,False
15,6,12,3*5,2*3,2^2*3,False,6,False,3,3,5,5,5,5,25,False,3,2,4,False,True,True
15,6,13,3*5,2*3,13,False,1,True,3,1,5,15,5,15,75,False,1,6,13,True,False,False
15,6,14,3*5,2*3,2*7,False,2,False,3,1,5,15,5,15,75,False,1,6,14,True,False,False
15,7,8,3*5,7,2^3,False,1,True,1,1,15,15,15,15,225,False,1,7,8,True,False,False
15,7,9,3*5,7,3^2,False,1,True,1,3,15,5,5,15,75,False,1,7,9,True,False,False
15,7,10,3*5,7,2*5,False,1,True,1,5,15,3,3,15,45,False,1,7,10,True,False,False
15,7,11,3*5,7,11,True,1,True,1,1,15,15,15,15,225,False,1,7,11,True,False,False
15,7,12,3*5,7,2^2*3,False,1,True,1,3,15,5,5,15,75,False,1,7,12,True,False,False
15,7,13,3*5,7,13,True,1,True,1,1,15,15,15,15,225,False,1,7,13,True,False,False
15,7,14,3*5,7,2*7,False,7,False,1,1,15,15,15,15,225,False,1,7,14,True,False,True
15,8,9,3*5,2^3,3^2,False,1,True,1,3,15,5,5,15,75,False,1,8,9,True,False,False
15,8,10,3*5,2^3,2*5,False,2,False,1,5,15,3,3,15,45,False,1,8,10,True,False,False
15,8,11,3*5,2^3,11,False,1,True,1,1,15,15,15,15,225,False,1,8,11,True,False,False
15,8,12,3*5,2^3,2^2*3,False,4,False,1,3,15,5,5,15,75,False,1,8,12,True,False,False
15,8,13,3*5,2^3,13,False,1,True,1,1,15,15,15,15,225,False,1,8,13,True,False,False
15,8,14,3*5,2^3,2*7,False,2,False,1,1,15,15,15,15,225,False,1,8,14,True,False,False
15,9,10,3*5,3^2,2*5,False,1,True,3,5,5,3,1,15,15,True,1,9,10,True,False,False
15,9,11,3*5,3^2,11,False,1,True,3,1,5,15,5,15,75,False,1,9,11,True,False,False
15,9,12,3*5,3^2,2^2*3,False,3,False,3,3,5,5,5,5,25,False,3,3,4,False,True,False
15,9,13,3*5,3^2,13,False,1,True,3,1,5,15,5,15,75,False,1,9,13,True,False,False
15,9,14,3*5,3^2,2*7,False,1,True,3,1,5,15,5,15,75,False,1,9,14,True,False,False
15,10,11,3*5,2*5,11,False,1,True,5,1,3,15,3,15,45,False,1,10,11,True,False,False
15,10,12,3*5,2*5,2^2*3,False,2,False,5,3,3,5,1,15,15,True,1,10,12,True,False,False
15,10,13,3*5,2*5,13,False,1,True,5,1,3,15,3,15,45,False,1,10,13,True,False,False
15,10,14,3*5,2*5,2*7,False,2,False,5,1,3,15,3,15,45,False,1,10,14,True,False,False
15,11,12,3*5,11,2^2*3,False,1,True,1,3,15,5,5,15,75,False,1,11,12,True,False,False
15,11,13,3*5,11,13,True,1,True,1,1,15,15,15,15,225,False,1,11,13,True,False,False
15,11,14,3*5,11,2*7,False,1,True,1,1,15,15,15,15,225,False,1,11,14,True,False,False
15,12,13,3*5,2^2*3,13,False,1,True,3,1,5,15,5,15,75,False,1,12,13,True,False,False
15,12,14,3*5,2^2*3,2*7,False,2,False,3,1,5,15,5,15,75,False,1,12,14,True,False,False
15,13,14,3*5,13,2*7,False,1,True,1,1,15,15,15,15,225,False,1,13,14,True,False,False
16,1,2,2^4,1,2,False,1,True,1,2,16,8,8,16,128,False,1,1,2,True,False,True
16,1,3,2^4,1,3,False,1,True,1,1,16,16,16,16,256,False,1,1,3,True,False,True
16,1,4,2^4,1,2^2,False,1,True,1,4,16,4,4,16,64,False,1,1,4,True,False,True
16,1,5,2^4,1,5,False,1,True,1,1,16,16,16,16,256,False,1,1,5,True,False,True
16,1,6,2^4,1,2*3,False,1,True,1,2,16,8,8,16,128,False,1,1,6,True,False,True
16,1,7,2^4,1,7,False,1,True,1,1,16,16,16,16,256,False,1,1,7,True,False,True
16,1,8,2^4,1,2^3,False,1,True,1,8,16,2,2,16,32,False,1,1,8,True,False,True
16,1,9,2^4,1,3^2,False,1,True,1,1,16,16,16,16,256,False,1,1,9,True,False,True
16,1,10,2^4,1,2*5,False,1,True,1,2,16,8,8,16,128,False,1,1,10,True,False,True
16,1,11,2^4,1,11,False,1,True,1,1,16,16,16,16,256,False,1,1,11,True,False,True
16,1,12,2^4,1,2^2*3,False,1,True,1,4,16,4,4,16,64,False,1,1,12,True,False,True
16,1,13,2^4,1,13,False,1,True,1,1,16,16,16,16,256,False,1,1,13,True,False,True
16,1,14,2^4,1,2*7,False,1,True,1,2,16,8,8,16,128,False,1,1,14,True,False,True
16,1,15,2^4,1,3*5,False,1,True,1,1,16,16,16,16,256,False,1,1,15,True,False,True
16,2,3,2^4,2,3,True,1,True,2,1,8,16,8,16,128,False,1,2,3,True,False,False
16,2,4,2^4,2,2^2,False,2,False,2,4,8,4,4,8,32,False,2,1,2,False,True,True
16,2,5,2^4,2,5,True,1,True,2,1,8,16,8,16,128,False,1,2,5,True,False,False
16,2,6,2^4,2,2*3,False,2,False,2,2,8,8,8,8,64,False,2,1,3,False,True,True
16,2,7,2^4,2,7,True,1,True,2,1,8,16,8,16,128,False,1,2,7,True,False,False
16,2,8,2^4,2,2^3,False,2,False,2,8,8,2,2,8,16,False,2,1,4,False,True,True
16,2,9,2^4,2,3^2,False,1,True,2,1,8,16,8,16,128,False,1,2,9,True,False,False
16,2,10,2^4,2,2*5,False,2,False,2,2,8,8,8,8,64,False,2,1,5,False,True,True
16,2,11,2^4,2,11,True,1,True,2,1,8,16,8,16,128,False,1,2,11,True,False,False
16,2,12,2^4,2,2^2*3,False,2,False,2,4,8,4,4,8,32,False,2,1,6,False,True,True
16,2,13,2^4,2,13,True,1,True,2,1,8,16,8,16,128,False,1,2,13,True,False,False
16,2,14,2^4,2,2*7,False,2,False,2,2,8,8,8,8,64,False,2,1,7,False,True,True
16,2,15,2^4,2,3*5,False,1,True,2,1,8,16,8,16,128,False,1,2,15,True,False,False
16,3,4,2^4,3,2^2,False,1,True,1,4,16,4,4,16,64,False,1,3,4,True,False,False
16,3,5,2^4,3,5,True,1,True,1,1,16,16,16,16,256,False,1,3,5,True,False,False
16,3,6,2^4,3,2*3,False,3,False,1,2,16,8,8,16,128,False,1,3,6,True,False,True
16,3,7,2^4,3,7,True,1,True,1,1,16,16,16,16,256,False,1,3,7,True,False,False
16,3,8,2^4,3,2^3,False,1,True,1,8,16,2,2,16,32,False,1,3,8,True,False,False
16,3,9,2^4,3,3^2,False,3,False,1,1,16,16,16,16,256,False,1,3,9,True,False,True
16,3,10,2^4,3,2*5,False,1,True,1,2,16,8,8,16,128,False,1,3,10,True,False,False
16,3,11,2^4,3,11,True,1,True,1,1,16,16,16,16,256,False,1,3,11,True,False,False
16,3,12,2^4,3,2^2*3,False,3,False,1,4,16,4,4,16,64,False,1,3,12,True,False,True
16,3,13,2^4,3,13,True,1,True,1,1,16,16,16,16,256,False,1,3,13,True,False,False
16,3,14,2^4,3,2*7,False,1,True,1,2,16,8,8,16,128,False,1,3,14,True,False,False
16,3,15,2^4,3,3*5,False,3,False,1,1,16,16,16,16,256,False,1,3,15,True,False,True
16,4,5,2^4,2^2,5,False,1,True,4,1,4,16,4,16,64,False,1,4,5,True,False,False
16,4,6,2^4,2^2,2*3,False,2,False,4,2,4,8,4,8,32,False,2,2,3,False,True,False
16,4,7,2^4,2^2,7,False,1,True,4,1,4,16,4,16,64,False,1,4,7,True,False,False
16,4,8,2^4,2^2,2^3,False,4,False,4,8,4,2,2,4,8,False,4,1,2,False,True,True
16,4,9,2^4,2^2,3^2,False,1,True,4,1,4,16,4,16,64,False,1,4,9,True,False,False
16,4,10,2^4,2^2,2*5,False,2,False,4,2,4,8,4,8,32,False,2,2,5,False,True,False
16,4,11,2^4,2^2,11,False,1,True,4,1,4,16,4,16,64,False,1,4,11,True,False,False
16,4,12,2^4,2^2,2^2*3,False,4,False,4,4,4,4,4,4,16,False,4,1,3,False,True,True
16,4,13,2^4,2^2,13,False,1,True,4,1,4,16,4,16,64,False,1,4,13,True,False,False
16,4,14,2^4,2^2,2*7,False,2,False,4,2,4,8,4,8,32,False,2,2,7,False,True,False
16,4,15,2^4,2^2,3*5,False,1,True,4,1,4,16,4,16,64,False,1,4,15,True,False,False
16,5,6,2^4,5,2*3,False,1,True,1,2,16,8,8,16,128,False,1,5,6,True,False,False
16,5,7,2^4,5,7,True,1,True,1,1,16,16,16,16,256,False,1,5,7,True,False,False
16,5,8,2^4,5,2^3,False,1,True,1,8,16,2,2,16,32,False,1,5,8,True,False,False
16,5,9,2^4,5,3^2,False,1,True,1,1,16,16,16,16,256,False,1,5,9,True,False,False
16,5,10,2^4,5,2*5,False,5,False,1,2,16,8,8,16,128,False,1,5,10,True,False,True
