N,trial,complex_embed_err_rel,complex_rank,real_B_min_eig_rel,real_B_n_negative,sum_abs_z2
3,0,6.50e-16,2,9.185e-17,0,6.7239
3,1,6.43e-16,2,-2.019e-17,0,1.0957
3,2,3.44e-16,2,-2.142e-16,0,0.8779
3,3,2.86e-16,2,-9.667e-02,1,2.6411
3,4,3.67e-16,2,8.672e-17,0,7.6110
3,5,6.72e-16,2,2.756e-16,0,6.4369
3,6,8.15e-16,2,1.013e-16,0,1.9399
3,7,8.20e-16,2,-1.177e-01,1,9.0721
3,8,3.83e-16,2,-1.142e-16,0,21.2121
3,9,6.84e-16,2,-6.581e-02,1,2.3292
3,10,2.65e-16,2,2.442e-16,0,7.4685
3,11,1.64e-15,2,-6.076e-17,0,5.4463
3,12,2.52e-16,2,-9.299e-02,1,7.3329
3,13,5.30e-16,2,-1.437e-16,0,4.7577
3,14,4.41e-16,2,-4.552e-02,1,3.3285
3,15,1.07e-15,2,1.912e-17,0,13.2248
3,16,6.71e-16,2,1.754e-16,0,6.2666
3,17,3.00e-16,2,-5.289e-02,1,3.2826
3,18,5.44e-16,2,-4.831e-02,1,7.8206
3,19,5.00e-16,2,-5.500e-18,0,5.6788
3,20,7.86e-16,2,2.081e-16,0,5.4571
3,21,4.45e-16,2,-9.154e-02,1,9.2477
3,22,5.72e-16,2,-7.874e-17,0,11.3830
3,23,4.76e-16,2,-1.979e-16,0,11.3972
3,24,8.75e-16,2,-2.898e-18,0,6.0531
3,25,2.43e-16,2,8.269e-17,0,4.7515
3,26,5.81e-16,2,-4.573e-17,0,14.9806
3,27,1.23e-15,2,-5.114e-02,1,10.8863
3,28,1.39e-15,2,1.113e-16,0,5.3261
3,29,5.12e-16,2,-6.551e-17,0,9.8186
3,30,5.65e-16,2,1.098e-16,0,5.1650
3,31,2.80e-16,2,-2.899e-01,1,15.1158
3,32,3.26e-16,2,7.109e-17,0,5.1856
3,33,5.72e-16,2,-6.481e-02,1,0.2482
3,34,2.47e-16,2,-7.849e-17,0,2.2288
3,35,6.82e-16,2,-8.536e-17,0,2.2721
3,36,6.38e-16,2,-1.147e-16,0,7.1876
3,37,6.50e-16,2,3.713e-17,0,1.8325
3,38,4.25e-16,2,-2.471e-16,0,8.5364
3,39,4.46e-16,2,-2.466e-17,0,11.5861
3,40,5.77e-16,2,-7.046e-02,1,10.8319
3,41,3.75e-16,2,-2.928e-01,1,2.8087
3,42,2.17e-16,2,-4.754e-02,1,6.9473
3,43,6.97e-16,2,-1.456e-16,0,9.6672
3,44,3.07e-16,2,-3.049e-02,1,6.4731
3,45,1.90e-16,2,-3.837e-02,1,3.3970
3,46,6.70e-16,2,3.029e-18,0,5.5262
3,47,5.01e-16,2,4.556e-18,0,8.6215
3,48,6.31e-16,2,-1.824e-16,0,2.2680
3,49,4.15e-16,2,-2.778e-01,1,10.3740
3,50,4.02e-16,2,7.254e-17,0,7.6405
3,51,3.25e-16,2,-1.178e-16,0,5.1688
3,52,3.20e-16,2,-1.568e-02,1,2.2810
3,53,4.66e-16,2,-6.142e-17,0,2.0884
3,54,5.22e-16,2,-2.418e-01,1,4.1964
3,55,7.86e-16,2,-2.620e-17,0,3.6289
3,56,1.08e-15,2,-2.569e-01,1,9.8646
3,57,3.92e-16,2,-5.397e-02,1,1.2521
3,58,3.32e-16,2,-1.946e-16,0,12.8487
3,59,1.90e-16,2,7.383e-17,0,6.5404
3,60,4.45e-16,2,5.682e-17,0,6.4154
3,61,8.54e-16,2,-3.989e-17,0,4.1342
3,62,1.82e-16,2,-8.081e-02,1,5.0601
3,63,4.79e-16,2,-3.974e-17,0,8.9771
3,64,5.42e-16,2,8.204e-17,0,1.1887
3,65,6.85e-16,2,1.603e-17,0,12.3191
3,66,2.45e-16,2,-5.562e-17,0,4.8038
3,67,8.55e-16,2,-2.414e-01,1,6.3576
3,68,3.74e-16,2,-1.976e-01,1,6.0372
3,69,7.98e-16,2,3.003e-17,0,3.4857
3,70,5.45e-16,2,2.239e-17,0,5.4576
3,71,6.12e-16,2,-1.182e-02,1,13.3814
3,72,4.03e-16,2,-1.853e-01,1,5.2583
3,73,5.04e-16,2,-3.403e-19,0,8.6030
3,74,7.22e-16,2,-2.387e-01,1,3.5253
3,75,5.64e-16,2,-3.759e-02,1,5.6723
3,76,3.08e-16,2,-1.670e-01,1,4.7138
3,77,3.88e-16,2,-9.098e-17,0,12.1328
3,78,5.84e-16,2,-7.150e-17,0,4.2444
3,79,6.42e-16,2,-5.006e-17,0,4.6495
3,80,6.27e-16,2,-2.153e-03,1,4.3641
3,81,5.15e-16,2,1.201e-16,0,4.9906
3,82,7.98e-16,2,-1.521e-01,1,14.4456
3,83,6.16e-16,2,-6.957e-18,0,9.7991
3,84,6.73e-16,2,9.603e-18,0,7.6584
3,85,4.93e-16,2,-2.917e-01,1,11.5294
3,86,5.33e-16,2,-1.019e-16,0,3.7708
3,87,4.23e-16,2,1.750e-16,0,5.4414
3,88,5.87e-16,2,-4.770e-17,0,9.9788
3,89,2.91e-16,2,-1.660e-01,1,1.4897
3,90,9.97e-16,2,-3.960e-02,1,6.9136
3,91,5.47e-16,2,2.458e-17,0,10.6195
3,92,9.05e-16,2,-2.823e-17,0,3.9024
3,93,4.68e-16,2,2.617e-18,0,14.1578
3,94,5.77e-16,2,1.622e-16,0,12.0280
3,95,1.54e-16,2,-2.130e-01,1,2.0156
3,96,2.56e-16,2,-1.454e-01,1,0.8489
3,97,2.80e-16,2,-1.114e-01,1,6.4984
3,98,4.97e-16,2,3.791e-19,0,5.2635
3,99,2.56e-16,2,-9.494e-17,0,5.2355
4,0,4.34e-16,3,-2.407e-01,1,10.4820
4,1,5.03e-16,3,-3.281e-01,1,11.3905
4,2,1.12e-15,3,-1.630e-01,1,6.6734
4,3,4.33e-16,3,-3.377e-01,1,4.8174
4,4,3.89e-16,3,-2.961e-01,1,16.6231
4,5,1.12e-15,3,-1.569e-01,1,10.7020
4,6,7.30e-16,3,-2.891e-01,1,11.8605
4,7,1.27e-15,3,-4.452e-01,1,13.3780
4,8,5.54e-16,3,-1.424e-01,1,8.2337
4,9,4.76e-16,3,-6.133e-02,1,15.5156
4,10,4.55e-16,3,-5.042e-02,1,9.0180
4,11,1.20e-15,3,-1.265e-01,1,21.6058
4,12,4.80e-16,3,-1.795e-01,1,10.2778
4,13,7.26e-16,3,-4.446e-02,1,9.5124
4,14,1.10e-15,3,-5.221e-17,0,12.0504
4,15,6.16e-16,3,-1.509e-01,1,7.2405
4,16,7.75e-16,3,-4.707e-01,1,4.8036
4,17,4.67e-16,3,-3.357e-02,1,11.5502
4,18,6.05e-16,3,-1.403e-01,1,13.9277
4,19,5.78e-16,3,-7.102e-02,1,12.8221
4,20,6.99e-16,3,-3.760e-02,1,16.0253
4,21,1.04e-15,3,-5.837e-02,1,14.6783
4,22,5.93e-16,3,-1.913e-01,1,20.4344
4,23,1.02e-15,3,-2.242e-01,1,14.1799
4,24,7.06e-16,3,5.166e-17,0,11.8636
4,25,6.39e-16,3,-8.985e-17,0,15.9126
4,26,7.17e-16,3,-6.929e-02,1,14.4340
4,27,4.15e-16,3,-2.437e-01,1,7.1444
4,28,5.17e-16,3,-3.349e-01,1,13.4230
4,29,3.68e-16,3,-1.527e-16,0,5.0385
4,30,5.54e-16,3,-9.508e-17,0,14.9597
4,31,7.59e-16,3,-1.559e-01,1,9.4551
4,32,3.76e-16,3,-4.783e-02,1,14.0899
4,33,1.16e-15,3,-2.674e-01,1,8.2590
4,34,9.00e-16,3,-1.934e-01,1,15.5501
4,35,8.55e-16,3,2.469e-18,0,13.3168
4,36,1.10e-15,3,-1.112e-02,1,8.1348
4,37,4.60e-16,3,-8.911e-02,1,9.2295
4,38,3.10e-16,3,-1.350e-01,1,6.6793
4,39,5.18e-16,3,-2.547e-01,1,8.6918
4,40,8.10e-16,3,-3.435e-02,1,7.2303
4,41,1.29e-15,3,-1.172e-16,0,8.2857
4,42,6.77e-16,3,-2.504e-01,1,11.4564
4,43,3.94e-16,3,-1.848e-01,1,12.2385
4,44,1.08e-15,3,-2.305e-01,1,8.5774
4,45,3.08e-16,3,-3.088e-01,1,5.6464
4,46,3.99e-16,3,-2.924e-01,1,13.4091
4,47,4.96e-16,3,-3.785e-01,1,10.8260
